epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.614,2.39336,5.99803,2.4521,0.00183,0.32555,0.02736,0.01037,2.4508,6.77834,2.77459,0.000183382,0.000183382,0.000183382
2,458.925,2.30156,5.59045,2.28748,0.79597,0.04111,0.01873,0.00831,2.53893,6.59621,2.79822,0.00035959,0.00035959,0.00035959
3,684.436,2.31662,5.43228,2.30131,0.78944,0.02509,0.01015,0.00301,2.61354,6.48681,2.95626,0.000526624,0.000526624,0.000526624
4,910.32,2.33579,5.23727,2.34045,0.79723,0.04828,0.01847,0.00495,2.79794,6.70839,2.9068,0.000514717,0.000514717,0.000514717
5,1134.94,2.40428,5.03732,2.396,0.80021,0.04659,0.0269,0.00925,2.61573,5.84864,2.77482,0.000500956,0.000500956,0.000500956
6,1358.45,2.30668,4.91613,2.34059,0.90873,0.01792,0.02974,0.00895,2.67346,5.68509,2.83286,0.000487195,0.000487195,0.000487195
7,1582.53,2.30767,4.62673,2.35426,0.56847,0.05419,0.02595,0.00637,2.59829,6.04892,2.86042,0.000473434,0.000473434,0.000473434
8,1806.36,2.26098,4.59368,2.3393,0.69056,0.07462,0.03743,0.01283,2.45292,5.35601,2.73367,0.000459673,0.000459673,0.000459673
9,2028.86,2.22278,4.54939,2.3139,0.60787,0.07292,0.0493,0.01413,2.47953,5.38048,2.79199,0.000445912,0.000445912,0.000445912
10,2251.51,2.18087,4.44756,2.26498,0.49544,0.09249,0.04334,0.01345,2.47445,4.94427,2.74852,0.000432151,0.000432151,0.000432151
11,2473.43,2.16945,4.27871,2.24126,0.60909,0.10284,0.05143,0.01449,2.46411,4.80931,2.62802,0.00041839,0.00041839,0.00041839
12,2695.39,2.13765,4.13753,2.17241,0.517,0.08364,0.04277,0.01329,2.4268,4.54423,2.62494,0.000404629,0.000404629,0.000404629
13,2933.17,2.11759,3.99423,2.19853,0.50551,0.07904,0.042,0.01274,2.42192,4.44757,2.74897,0.000390868,0.000390868,0.000390868
14,3158.25,2.10201,4.07348,2.19831,0.61034,0.0708,0.05087,0.01486,2.49858,4.30567,2.72268,0.000377107,0.000377107,0.000377107
15,3380.48,2.01194,3.94936,2.129,0.5078,0.08615,0.05778,0.01726,2.41592,4.73275,2.64308,0.000363346,0.000363346,0.000363346
16,3601.97,2.0237,3.81256,2.14675,0.45403,0.10578,0.06663,0.02253,2.27656,4.09895,2.56704,0.000349585,0.000349585,0.000349585
17,3823.73,2.02475,3.72659,2.12017,0.59815,0.09222,0.07618,0.02609,2.28857,3.94823,2.58114,0.000335824,0.000335824,0.000335824
18,4046.39,2.02159,3.77297,2.09604,0.66821,0.09056,0.07983,0.02666,2.26183,4.04738,2.55874,0.000322063,0.000322063,0.000322063
19,4267.02,1.94343,3.59252,2.06158,0.71167,0.07107,0.06325,0.02062,2.35377,3.96837,2.56907,0.000308302,0.000308302,0.000308302
20,4488.36,1.97265,3.64266,2.06969,0.38749,0.09673,0.06872,0.02341,2.42702,3.93992,2.67911,0.000294541,0.000294541,0.000294541
21,4704.41,1.92839,3.60536,2.07128,0.65355,0.06997,0.06321,0.02072,2.45365,4.02427,2.67176,0.00028078,0.00028078,0.00028078
22,4920.3,1.93451,3.52079,2.07544,0.68654,0.10094,0.09938,0.03704,2.21052,3.93543,2.49366,0.000267019,0.000267019,0.000267019
23,5135.4,1.89147,3.45142,2.00777,0.41354,0.0885,0.06289,0.02051,2.23757,3.96305,2.46517,0.000253258,0.000253258,0.000253258
24,5351.26,1.89536,3.45865,2.00292,0.54899,0.12179,0.09492,0.03289,2.25558,3.83006,2.50607,0.000239497,0.000239497,0.000239497
25,5567.65,1.78782,3.2945,1.92152,0.54527,0.11199,0.1097,0.04234,2.271,3.83759,2.50796,0.000225736,0.000225736,0.000225736
26,5783.2,1.80607,3.31904,1.94751,0.48852,0.11884,0.10745,0.04193,2.18154,3.59228,2.49943,0.000211975,0.000211975,0.000211975
27,5999.41,1.8077,3.24814,1.95221,0.44287,0.09417,0.08435,0.03046,2.20131,3.74504,2.48924,0.000198214,0.000198214,0.000198214
28,6219.22,1.82116,3.25223,1.96524,0.61024,0.10209,0.09242,0.03586,2.21416,3.64099,2.47686,0.000184453,0.000184453,0.000184453
29,6433.47,1.78313,3.23775,1.93102,0.37571,0.12553,0.09488,0.03357,2.20767,3.64481,2.46741,0.000170692,0.000170692,0.000170692
30,6650.9,1.72839,3.09194,1.88291,0.50096,0.12133,0.10625,0.04022,2.20863,4.07402,2.52323,0.000156931,0.000156931,0.000156931
31,6866.24,1.89321,3.72155,2.11895,0.48134,0.13262,0.1118,0.0378,2.1755,3.83627,2.51218,0.00014317,0.00014317,0.00014317
32,7081.71,1.8369,3.57665,2.07041,0.21654,0.13736,0.1081,0.04783,2.14483,3.64513,2.42936,0.000129409,0.000129409,0.000129409
33,7295.91,1.8156,3.47586,2.05912,0.44681,0.14251,0.10836,0.04438,2.15508,3.71516,2.44884,0.000115648,0.000115648,0.000115648
34,7512.02,1.78349,3.34873,2.0288,0.36133,0.14381,0.10944,0.04419,2.1614,3.84425,2.46202,0.000101887,0.000101887,0.000101887
35,7726.74,1.71294,3.31482,1.99043,0.37624,0.14162,0.11754,0.04842,2.12279,3.67073,2.438,8.8126e-05,8.8126e-05,8.8126e-05
36,7941.22,1.68688,3.38396,1.95305,0.38969,0.1231,0.11919,0.04673,2.09021,3.50582,2.42881,7.4365e-05,7.4365e-05,7.4365e-05
37,8156.16,1.66397,3.42656,1.9275,0.42558,0.17332,0.13381,0.04909,2.14446,3.51384,2.44676,6.0604e-05,6.0604e-05,6.0604e-05
38,8372.11,1.67155,3.16121,1.94596,0.39343,0.17289,0.1334,0.04894,2.13369,3.53748,2.47589,4.6843e-05,4.6843e-05,4.6843e-05
39,8590.75,1.68471,3.27867,1.91864,0.39857,0.15862,0.12848,0.05122,2.1327,3.55661,2.45926,3.3082e-05,3.3082e-05,3.3082e-05
40,8808.41,1.64722,3.16862,1.88721,0.37519,0.1455,0.12796,0.05099,2.09837,3.56254,2.42872,1.9321e-05,1.9321e-05,1.9321e-05
