epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.088,2.58633,4.92982,2.55604,0,0,0,0,2.94905,5.50736,2.89465,0.000124769,0.000124769,0.000124769
2,255.903,2.37441,4.8301,2.3346,0,0,0,0,2.83557,5.34062,2.70873,0.000244749,0.000244749,0.000244749
3,382.131,2.37876,4.8239,2.34157,0.00653,0.07379,0.00847,0.00344,2.70449,5.2963,2.70702,0.00035626,0.00035626,0.00035626
4,508.881,2.33936,4.74502,2.29401,0.00228,0.19053,0.01007,0.00453,2.56416,5.12488,2.63303,0.000346885,0.000346885,0.000346885
5,635.628,2.31998,4.74449,2.29719,0.00223,0.26136,0.00622,0.00245,2.5107,5.05235,2.65956,0.00033418,0.00033418,0.00033418
6,762.539,2.24682,4.64389,2.2481,0.00402,0.33999,0.01035,0.0034,2.66507,5.01272,2.68502,0.000321475,0.000321475,0.000321475
7,889.417,2.2206,4.57555,2.22885,0.34101,0.0471,0.00942,0.00253,2.60124,4.94821,2.63103,0.00030877,0.00030877,0.00030877
8,1016.67,2.20878,4.46861,2.2232,0.66107,0.0171,0.01143,0.00412,2.55993,4.86843,2.62414,0.000296065,0.000296065,0.000296065
9,1143.49,2.24023,4.41725,2.26683,0.66173,0.02448,0.01528,0.00545,2.47668,4.85328,2.52158,0.00028336,0.00028336,0.00028336
10,1270.75,2.16489,4.36633,2.18951,0.61442,0.02307,0.01485,0.00575,2.37982,4.74264,2.44768,0.000270655,0.000270655,0.000270655
11,1397.85,2.1263,4.32268,2.18784,0.63513,0.02607,0.01969,0.00769,2.34755,4.65477,2.46867,0.00025795,0.00025795,0.00025795
12,1524.7,2.07897,4.27627,2.16493,0.61731,0.04497,0.03268,0.01324,2.29646,4.53423,2.41885,0.000245245,0.000245245,0.000245245
13,1651.25,2.09783,4.2038,2.17602,0.6224,0.04508,0.0333,0.0153,2.2941,4.52626,2.41584,0.00023254,0.00023254,0.00023254
14,1777.58,2.03413,4.15216,2.13106,0.67862,0.05047,0.03635,0.01369,2.28021,4.46156,2.35783,0.000219835,0.000219835,0.000219835
15,1902.65,2.07663,4.12874,2.15079,0.65702,0.05539,0.05094,0.02408,2.25884,4.39851,2.34965,0.00020713,0.00020713,0.00020713
16,2027.47,2.05274,4.11456,2.13852,0.68077,0.05638,0.06229,0.03026,2.23433,4.33812,2.34765,0.000194425,0.000194425,0.000194425
17,2152.19,2.0178,4.04937,2.09497,0.69041,0.06578,0.0624,0.03187,2.23743,4.23958,2.31947,0.00018172,0.00018172,0.00018172
18,2277.31,1.99889,3.98351,2.07055,0.75612,0.0541,0.073,0.04132,2.27761,4.24246,2.3043,0.000169015,0.000169015,0.000169015
19,2402.03,1.94457,3.99458,2.06098,0.67934,0.0692,0.08351,0.04925,2.21896,4.22582,2.28267,0.00015631,0.00015631,0.00015631
20,2526.4,1.94436,3.91902,2.0389,0.70297,0.06741,0.0776,0.04524,2.17939,4.23194,2.26936,0.000143605,0.000143605,0.000143605
21,2650.69,2.26716,4.58236,2.36403,0.68941,0.0698,0.0816,0.04603,2.16789,4.43816,2.24882,0.0001309,0.0001309,0.0001309
22,2774.79,2.25523,4.54625,2.37198,0.71669,0.06951,0.08097,0.04502,2.11528,4.26544,2.22481,0.000118195,0.000118195,0.000118195
23,2899.05,2.11958,4.3695,2.25116,0.74963,0.06102,0.07898,0.04226,2.09899,4.17719,2.21747,0.00010549,0.00010549,0.00010549
24,3023.53,2.12766,4.46786,2.29158,0.73699,0.07003,0.08369,0.04605,2.04398,4.08782,2.19106,9.2785e-05,9.2785e-05,9.2785e-05
25,3148.21,2.08946,4.3599,2.24094,0.72552,0.07152,0.108,0.05691,2.00853,4.12272,2.16943,8.008e-05,8.008e-05,8.008e-05
26,3272.29,2.00331,4.29263,2.18424,0.74007,0.06794,0.09442,0.05644,2.00332,4.10018,2.13754,6.7375e-05,6.7375e-05,6.7375e-05
27,3396.57,2.03995,4.2582,2.229,0.65303,0.0803,0.09161,0.05795,2.01618,4.09579,2.12786,5.467e-05,5.467e-05,5.467e-05
28,3520.74,2.02096,4.23439,2.19183,0.73395,0.07132,0.09836,0.06314,1.97099,4.08017,2.10533,4.1965e-05,4.1965e-05,4.1965e-05
29,3644.94,2.02701,4.13632,2.1746,0.70451,0.07716,0.10784,0.06338,1.96263,4.12202,2.094,2.926e-05,2.926e-05,2.926e-05
30,3769.39,2.01827,4.16142,2.18723,0.70817,0.07908,0.11731,0.06606,1.95827,4.15025,2.09437,1.6555e-05,1.6555e-05,1.6555e-05
