epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.695,1.5973,1.96441,1.55036,0.35685,0.22185,0.20558,0.0937,2.0046,2.03052,1.64777,0.000665468,0.000665468,0.000665468
2,680.253,1.62054,1.60779,1.57431,0.44411,0.1638,0.19209,0.09978,1.94135,1.95495,1.56733,0.00120025,0.00120025,0.00120025
3,1014.86,1.58378,1.49101,1.54315,0.39224,0.26343,0.2566,0.11829,1.9389,1.78608,1.54711,0.00160304,0.00160304,0.00160304
4,1343.67,1.53622,1.39416,1.50482,0.40858,0.24673,0.24127,0.12099,1.90902,1.73258,1.53449,0.001406,0.001406,0.001406
5,3321.93,1.49135,1.32827,1.47669,0.41606,0.25545,0.25872,0.12979,1.86822,1.82518,1.48967,0.001208,0.001208,0.001208
6,3631.34,1.42597,1.23228,1.4325,0.45429,0.29733,0.31524,0.16574,1.71763,1.53289,1.40769,0.00101,0.00101,0.00101
7,3937.51,1.37399,1.15488,1.39943,0.49802,0.30718,0.33012,0.17096,1.71416,1.48739,1.40932,0.000812,0.000812,0.000812
8,4240.9,1.3295,1.11417,1.37909,0.48101,0.30967,0.33216,0.17846,1.67164,1.42833,1.38779,0.000614,0.000614,0.000614
9,4544.87,1.28009,1.05194,1.35651,0.50659,0.34842,0.37478,0.20116,1.61814,1.36533,1.36405,0.000416,0.000416,0.000416
10,4848.92,1.2469,1.02493,1.33242,0.51513,0.35572,0.38643,0.2086,1.58504,1.34252,1.34399,0.000218,0.000218,0.000218
